alpha_id,expression,universe,delay,decay,truncation,neutralization,sharpe,fitness,turnover,returns,drawdown,checks_passed,checks_total,status
omnReze6,"group_rank(divide(subtract(close, open), open), subindustry)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.61,-0.16,0.8404,0,0,4,8,FAILED_LOW_SHARPE
xAeVa17n,"group_rank(divide(subtract(close, open), open), subindustry)",TOP3000,0,1,0.005,INDUSTRY,-0.18,-0.02,1.2792,0,0,4,8,FAILED_LOW_SHARPE
1YoOvqZJ,"group_rank(divide(subtract(high, low), open), subindustry)",TOP3000,0,4,0.01,SUBINDUSTRY,0.07,0.01,0.3695,0,0,5,8,FAILED_LOW_SHARPE
58LrRqPX,"group_rank(divide(subtract(high, low), open), subindustry)",TOP3000,0,1,0.005,INDUSTRY,0.1,0.01,0.8222,0,0,4,8,FAILED_LOW_SHARPE
QPnOeWkK,"group_rank(divide(subtract(open, ts_delay(close, 1)), ts_delay(close, 1)), subindustry)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.59,-0.13,0.8217,0,0,3,8,FAILED_LOW_SHARPE
zq5gXqoo,"group_rank(divide(subtract(open, ts_delay(close, 1)), ts_delay(close, 1)), subindustry)",TOP3000,0,1,0.005,INDUSTRY,-0.33,-0.04,1.2726,0,0,3,8,FAILED_LOW_SHARPE
VkXZKK05,"ts_corr(divide(volume, sharesout), abs(returns), 10)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.31,-0.07,0.2744,0,0,4,8,FAILED_LOW_SHARPE
mLqdege6,"ts_corr(divide(volume, sharesout), abs(returns), 10)",TOP3000,0,1,0.005,INDUSTRY,-0.23,-0.04,0.4222,0,0,4,8,FAILED_LOW_SHARPE
E5qNonjR,"group_rank(divide(subtract(divide(volume, sharesout), ts_mean(divide(volume, sharesout), 20)), ts_std_dev(divide(volume, sharesout), 20)), subindustry)",TOP3000,0,4,0.01,SUBINDUSTRY,1.15,0.35,0.553,0,0,5,8,FAILED_LOW_SHARPE
E5qN0bpm,"group_rank(divide(subtract(divide(volume, sharesout), ts_mean(divide(volume, sharesout), 20)), ts_std_dev(divide(volume, sharesout), 20)), subindustry)",TOP3000,0,1,0.005,INDUSTRY,1.42,0.34,0.9647,0,0,4,8,FAILED_LOW_SHARPE
d5nY8bY2,"trade_when(greater(volume, ts_mean(volume, 20)), returns, -1)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.59,-0.22,0.3789,0,0,4,8,FAILED_LOW_SHARPE
O0nRwL7Y,"trade_when(greater(volume, ts_mean(volume, 20)), returns, -1)",TOP3000,0,1,0.005,INDUSTRY,0.13,0.02,0.6456,0,0,4,8,FAILED_LOW_SHARPE
ZYjgqw0j,"scale(ts_delta(volume, 20))",TOP3000,0,3,0.005,SECTOR,1.08,0.55,0.5334,0,0,5,8,FAILED_LOW_SHARPE
akNeMdXw,"normalize(ts_quantile(high, 3))",TOP500,0,3,0.01,INDUSTRY,-0.61,-0.18,0.7621,0,0,3,8,FAILED_LOW_SHARPE
d5nYgzwK,"rank(multiply(-1, ts_corr(close, cap, 20)))",TOP500,0,4,0.01,SUBINDUSTRY,-0.72,-0.35,0.1723,0,0,5,8,FAILED_LOW_SHARPE
O0nRkYdp,"normalize(multiply(-1, ts_corr(close, high, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,-0.67,-0.27,0.2062,0,0,4,8,FAILED_LOW_SHARPE
le7E2rg5,"rank(multiply(-1, ts_corr(close, volume, 30)))",TOP1000,0,4,0.01,SUBINDUSTRY,0.5,0.22,0.152,0,0,5,8,FAILED_LOW_SHARPE
1YoOLOVK,"multiply(-1, rank(multiply(-1, ts_corr(close, volume, 20))))",TOP3000,0,2,0.01,INDUSTRY,-0.9,-0.44,0.2185,0,0,5,8,FAILED_LOW_SHARPE
LLnEXLZ6,"zscore(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,1.01,0.53,0.1975,0,0,4,8,FAILED_LOW_SHARPE
ZYjXmEd8,"rank(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,1.03,0.54,0.1914,0,0,4,8,FAILED_LOW_SHARPE
RRN9aAVe,"rank(multiply(-1, ts_corr(close, volume, 10)))",TOP3000,0,4,0.01,SECTOR,0.85,0.37,0.2973,0,0,4,8,FAILED_LOW_SHARPE
j2now765,"rank(multiply(-1, ts_corr(close, vwap, 20)))",TOP1000,0,4,0.01,SUBINDUSTRY,-1.04,-0.61,0.1843,0,0,4,8,FAILED_LOW_SHARPE
XgkVYPGl,"rank(multiply(-1, ts_corr(close, low, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,-0.49,-0.18,0.1766,0,0,4,8,FAILED_LOW_SHARPE
zq5gJ8YX,"multiply(-1, ts_decay_linear(rank(multiply(-1, ts_delta(close, 5))), 4))",TOP3000,0,4,0.015,SUBINDUSTRY,-1.08,-0.56,0.3349,0,0,4,8,FAILED_LOW_SHARPE
e7nNqPVJ,"multiply(-1, ts_decay_linear(rank(multiply(-1, ts_delta(close, 5))), 4))",TOP3000,0,4,0.01,SUBINDUSTRY,-1.08,-0.56,0.3349,0,0,4,8,FAILED_LOW_SHARPE
